col_id,col_name,col_pretty_name,category_pretty_names,data_type,unit,allowed_values,description
178,part-recent-chrono-change,Recent change in timezone,Participant metadata,boolean,-,"Y, NR, NC","Whether a recent change in chronotype or sleep-wake schedule (e.g., shift work, jet lag) was recorded as a participant characteristic."
179,part-meta-bmr-rmr,Basal Metabolic Rate (BMR),Participant metadata,boolean,-,"Y, NR, NC",Resting basal metabolic rate
180,part-meta-alcohol-use,Regular alcohol consumption,Participant metadata,boolean,-,"Y, NR, NC","If alcohol use was not an exclusion criteria, then the information per participant is collected"
181,part-meta-mens-timing,Menstrual timing,Participant metadata,boolean,-,"Y, NR, NC","If menstrual timing was not an exclusion criteria, then the information per participant is collected"
182,part-meta-contraceptive-type,Contraceptive type,Participant metadata,boolean,-,"Y, NR, NC","If contraception type was not an exclusion criteria, then the information per participant is collected"
183,part-meta-reg-coffee,Regular coffee consumption,Participant metadata,boolean,-,"Y, NR, NC",Regular coffee consumption
184,part-meta-reg-sleep-time,Regular sleep time,Participant metadata,boolean,-,"Y, NR, NC",Regular sleep time
185,part-meta-reg-work time,Regular work-time,Participant metadata,boolean,-,"Y, NR, NC",Regular work time
186,protocol-fixed-clo,Clo values were fixed,Protocol,boolean,-,"Y, NR, NC","The clothing was fixed throughout the session, and the participant was not allowed to change it."
187,protocol-observed-clo,Clo values were observed,Protocol,boolean,-,"Y, NR, NC","The clothing was not controlled, subjects were free to adjust/change clothing druing the sessions. The resulting clo factor was observed and noted.
If there is no mention of observed clothing, then NR."
188,protocol-avoid-stimulant,Avoid stimulants (ie. coffee),Protocol,boolean,-,"Y, NR, NC","Participants were explicitly instructed to avoid stimulants (coffee, tea, alcohol, energy drinks, tobacco, or similar) and/or sedatives before the session. The specific duration of avoidance is not required as long as it was explicitly stated. If nothing mentioned regarding any stimulating drink avoidance, it's NR."
189,protocol-avoid-activity,Avoid strenuous activity,Protocol,boolean,-,"Y, NR, NC",Participants were explicitly instructed to avoid strenuous physical activity before the session. The specific duration is not required as long as the instruction was given.
190,protocol-avoid-heavy-food,Avoid heavy food,Protocol,boolean,-,"Y, NR, NC","Participants were explicitly instructed to avoid consuming heavy, spicy, or extreme foods before the session."
191,protocol-rest-sleep,Rest well,Protocol,boolean,-,"Y, NR, NC","Participants were instructed to rest well, ensure adequate sleep and/or avoid sleeping later than usual prior to the session. "
192,protocol-circadian,Circadian timing was considered,Protocol,boolean,-,"Y, NR, NC","The timing of the sessions were taken into account to avoid confounding effects due to circadian changes. This could mean 
(1) each participant's sessions were at the same time of day or counterbalanced to avoid time-of-day bias, or 
(2) all participants were tested at a consistent time across groups or were randomly assigned to different time slots."
193,protocol-mens-timing,Menstrual timing was considered,Protocol,boolean,-,"Y, NR, NC","The timing of sessions was controlled for menstruation phases. This could mean: 
(1) scheduling female participants in specific cycle phases, or
(2) including only participants on hormonal birth control. 
Excluding female participants entirely DOES NOT constitute controlling for menstrual timing, in such case, value is NR"
194,protocol-time-btw-sessions,Time between sessions avoided acclimation,Protocol,boolean,-,"Y, NR, NC","Sufficient time was allocated between sessions for the same participant to avoid acclimation or carryover effects, OR explicitly study them. This applies if explicitly mentioned in the protocol, regardless of the time period between sessions. The sessions can be designed to be apart, or consecutively (ie. every day). As long as there was a common spacing between sessions that was applied throughout the protocol, the value is 1."
195,protocol-instruction-practice,Instructions/Practice were available,Protocol,boolean,-,"Y, NR, NC","Participants were given specific instructions on how to respond to surveys, follow procedures, and/or practice tests were conducted before sessions. This does not refer to general onboarding but to session-specific instructions to avoid mistakes due to insufficient or misunderstanding the experimental procedures."
196,protocol-diary,Participants kept diaries,Protocol,boolean,-,"Y, NR, NC","Participants were required to keep a diary/log documenting food intake, sleep patterns, physical activity, and/or other habits outside session hours. If this information is acquired by researchers through questionnaires, it also applies."
197,protocol-maintain-routine,Participants maintained usual habits,Protocol,boolean,-,"Y, NR, NC","Participants were instructed to maintain a regular routine outside session hours, including sleep-wake cycles, diet, exercise, and medication routines."
198,protocol-blinded,Protocol was blinded,Protocol,boolean,-,"Y, NR, NC","The experiment was blinded (single, double, or triple-blind) to reduce bias."
199,protocol-random,Session were ordered randomly,Protocol,boolean,-,"Y, NR, NC","The protocol included any type of randomization (random session, random item order, random participant assignment, etc.). Counterbalancing is included here."
200,protocol-balancing,Groups/blocks were balanced,Protocol,boolean,-,"Y, NR, NC",The groups/blocks were balanced
201,protocol-subjects-not-allowed-to-discuss,Participants not allowed to talk about experiment,Protocol,boolean,-,"Y, NR, NC","The participants were not allowed to talk to each other or the researchers about the experiment, questionnaires, their own perception."
202,protocol-food,Food intake was controlled,Protocol,boolean,-,"Y, NR, NC","Food intake before or during sessions was standardized (e.g., fasting requirements, controlled meal portions). This is distinct from avoiding stimulants or heavy/large/unusual foods. In case the amount of food intake was not controlled, but the timing of the session was adjusted according to the last food intake, this also applies (e.g., ""The sessions started 2 hours after lunch""). "
203,protocol-water,Drink intake was controlled,Protocol,boolean,-,"Y, NR, NC","Drink intake before or during sessions was standardized (e.g., participants were not allowed to drink during session, participants were served xx ml of isotonic water before the session to ensure hydration status)"
204,protocol-prep-body-site,Body site was prepped,Protocol,boolean,-,"Y, NR, NC","Specific body sites were prepared before sensor application. This includes cleaning, washing, shaving, wiping the skin, mouth rinsing, or instructing the participant not to apply make-up, creams, lotions, gels or similar materials on site, depending on the sensors used"
205,protocol-defined-activity,Activity was defined,Protocol,boolean,-,"Y, NR, NC","Participants were seated and sedentary throughout the session. If movement (e.g., walking) was allowed, it was monitored and recorded as part of the protocol."
206,protocol-observed-met,Activity was observed,Protocol,boolean,-,"Y, NR, NC","Participants were free to move freely, and resulting metabolic rates were assumed based on observed behaviours and/or measured."
